id,text
1,"深水埗富昌邨一名患肾病中年汉，终日疑心比他年轻16载的妻子红杏出墙，昨凌晨不满妻子夜归大吵一场，在「绿帽」疑云下，病汉竟然拿出通渠用的腐液淋向妻子；女事主眼睛和面部灼伤，痛极呼叫；混乱中，她反扑夺过通渠水反淋向丈夫，导致男户主也告灼伤。12岁女儿被惊醒，慌忙报警将父母送院，惟女伤者因被腐蚀性液体严重灼伤，恐怕有失明和毁容之虞，警方以涉嫌伤人罪拘捕男户主。记者：梁维建、梁伟权辣手向妻子淋腐液的男子姓曾（48岁），有藏毒案底及家暴纪录，性格暴躁。他曾任职茶餐厅，但两年前患上肾衰竭失业无法工作，要靠姓曹（32岁）妻子外出工作帮补家计，两人育有一名女儿（12岁），同住在富昌邨富韵楼一个单位。妻负伤夺樽反淋丈夫据知，曹妇是湖南人样貌娟好，最近才居港满7年获发本港居民身份证，目前在美容院做美容师。现场消息称，男户主自丧失工作能力后，终日怀疑妻子变心红杏出墙，导致争吵不休感情破裂，两人已达水火不容的地步，夫妻为离婚事一直拖拖拉拉。据称，上周五晚曹妇没有回家，翌日男户主大兴问罪之师，她敷衍说在朋友家过夜。至昨凌晨4时许，曹妇又再夜归，男户主直等到她回来后，不问情由劈头就闹，两人大吵一顿；其间有人突然拿来一樽通渠用的腐液向妻子照头淋，女伤者眼睛和面部严重灼伤，登时痛极惊叫胡乱打拨，混乱间她负伤夺去腐液，向丈夫还以颜色。男户主因赤膊上身，致左面和双手也被腐液灼伤，他们的女儿被呼救声吵醒，赫见父母各自抱头叫痛，立即致电报警求助。女户主眼和面部严重灼伤，恐怕会失明和毁容，已经由玛嘉烈医院转到港岛的玛丽医院进行植皮手术，目前情况严重。知伤势嚷「死咗好过」据称，做美容的女伤者得悉自己可能毁容，甚至失明，在医院失控哭闹：「不如我死咗好过！」男户主送院时尚可以与警员对话，经治理后情况稳定，他涉嫌伤人被捕。警方已经将他们的女儿交由男方的父母照料，其间有人偏袒儿子说：「个女人变咗呀！」警方稍后在单位内调查，捡走一支胶樽装的腐液，内面的液体只剩下三分一，并在床上枕头底捡获一抦铁锤，怀疑有人收藏用作行凶。案件交由深水埗警区重案组接手调查。夫妻互淋腐液示意图腐液溅身应以清水冲洗【本报讯】通渠用的腐液主要分两种，其中一种「哥士的梳打」是硷性物质，遇水会发热，可以融解水渠内的油脂；另一种是浓酸，倒入渠中会产生化学作用，令阻塞物腐烂以达到通渠目的。
淋中眼睛可致盲急症室专科医生冯显达指出，身体被淋腐液造成的创伤，要视乎腐液浓度和逗留身体的时间；无论如何，硫酸浓度高低都会刺激皮肤，轻则长水泡及红肿，严重的三级灼伤会伤及真皮，无法重生，伤者要做植皮手术；若是敏感的眼睛被腐液灼伤，严重者可以致盲。市民一旦不小心接触腐液，应即时以大量清水冲洗，并尽快求诊。以往间中也发生腐液伤人事故。上周一，荃湾一名女护士用腐液灭蚁，结果腐液如雨点般沿外墙檐篷滴下，楼下共有7名途人被溅中灼伤，包括一名女婴。去年12月13日，旺角西洋菜南街行人专用区，有狂徒将两支容量约350毫升、盛载腐液的胶樽从大厦高处掷下。两支胶樽落地后爆裂，腐液飞溅向人群，共46人被灼伤。"
2,经济逆转，不少身为一家经济支柱的男士压力倍增，和谐之家近月便收到在澳门金沙地盘打工的港人判头求助，说不敢把「被炒」真相告知太太，不敢回家。有社工指出，家庭出现经济问题是导致家暴的主因，男士不应把郁结埋藏心中，否则可能出现SARS 时期「借钱畀家用」的悲凉情景。和谐之家注册社工叶长秀表示，近日男士因经济问题致电求助的个案略升，其中一宗个案是一名刚因金沙地盘裁员而失业的判头，表示不敢把消息告知香港的太太，又担心没有家用给她，因此一直逗留在澳门不敢回家。叶长秀指出，求助者大多担心会被裁员、无法给家用、「无饭开」，当中不少是跨境工作人士，包括判头、银行职员、文职等，部分人出现失眠、不愿回家、脾气变得暴躁等征兆， 「有时太太多问几句，男士又会觉好啰唆，结果令夫妻关系变差」。有女士亦致电投诉丈夫近日口黑面黑、不愿给家用。和谐之家数字显示，今年4 月至11 月入住庇护中心的71 名妇女，当中48 人（约68%）是因为经济问题导致家暴而求助，同期约有11 名男士因家庭经济问题而致电热线，大多是在近月求助。叶长秀说，在经济较差的时期如SARS 期间，有八至九成妇女是因为经济问题导致家暴而入住。她鼓励夫妻间坦诚相对，妻子不用追问太多，应拍拍丈夫膊头给予鼓励， 「经济差时试过有丈夫一直向太太隐瞒失业，唯有借钱畀家用」。40 多岁的阿怡（假名）育有3 子女，丈夫1997 年前当散工，彼此关系已不太好，丈夫自从97 年金融风暴失业后一直领取综援，脾气变差，沉迷赌博，更开始动粗和不给家用， 「有时仔女吃面吃得慢，便会被他照头淋」。由于她在香港无亲无故，哑忍到06 年才入住庇护中心，子女接受心理辅导后已康复过来。劳工及福利局长张建宗表示，会密切留意经济变差家庭纠纷会否上升，而自《2008 年家庭暴力（修订）条例》于8 月生效，将保障伸延至前配偶、未成年人士等后，短短两个月已发出7 项禁制令。
3,贫贱夫妻百事哀！近日，一位领综援的男子与妻子争执后，触发抑郁症，用生果刀割破十一岁女儿颈部大动脉，然后跳楼身亡。事件令人再度关注本港的家庭暴力问题。据悉，这户人家并无家暴前科，故非社工辅导个案。他们每月靠六千多元的综援金过活，死者还好赌，经常埋怨钱不够用，与掌管综援金的妻子争拗。类似这样的家庭，在香港不知凡几，当中潜伏的危机，实在不容忽视。社署对此应予以关注，不能只提供金钱上的帮助，直等到真的发生了家暴事件才介入。申领综援的都是无业人士，他们穷困潦倒，又终日无所事事，最容易产生情绪问题。如果政府能提供适当的联谊活动、情绪辅导及谋生技巧训练，帮助他们建立人际网络和积极的人生观，那么，虽不至于完全解决问题，也可在某种程度上防范于未然。当然，这或会涉及聘请更多的社工，拨出更多的资金。当局不妨考虑招募义工，探访综援家庭，这一方面可以令有心人了解低下层的生活，为综援户扩展人际网络，不致感到孤立无援，也可节省开支。对于患有情绪病的人，家人应予以关怀，并且学习与他们相处的技巧，避免激烈的争拗。应该保持警觉，当发现病人情绪不稳定时，要及早求助。这方面，医护及社工应提供足够的指引，帮助受影响的家庭。家暴问题是全社会的问题，应动员起来，一起寻求防范之道。我们实在不愿经常听到家暴引发的伦理惨剧，不愿社会弥漫悲哀的氛围。愉快的家庭是人们的避难所，也是生活的支柱。当局提倡创造和谐社会，首先应从家庭做起。希望每位市民都珍惜自己的家庭，这样，传媒有关家暴的报道自会销声匿迹，社会也将日趋祥和。
4,一名疑患有躁狂症恶男，昨早约7时驾私家车至蓝田康华苑趁前妻送儿子上学后，要求复合被拒时，竟开车铲上行人路将前妻撞倒，继而自车厢取来一支长约10吋手电筒，落车再殴打前妻，及不断高喊「勾佬吖嗱」。其后，有人更抱起屋邨用作锁车的石?，企图掟向前妻，幸被途人喝止及报警，警员到场将躁汉拘捕。惨被前夫施袭的妇人姓沈(28岁)，颈、头及脚部重伤，头骨爆裂，情况严重。沈妇前夫姓谢(39岁)，涉嫌疯狂驾驶及袭击致造成实际身体伤害被捕。据称，警方初步调查，发现谢无业，有犯罪纪录及饮咳药水习惯，谢与沈妇于02年结婚，育有7岁大儿子，因有人经常施以家暴，致夫妇离异。
5,秀茂坪发生恶夫涉嫌殴妻的家暴事件！一名中年躁汉，昨凌晨返回宝达邨达佳楼寓所时，因妻子反锁睡房门，于是用脚大力踢门，并将熟睡妻子吵醒；妻子更被人扯着头发拖出睡房，继而拳打脚踢受伤，警员接报驰抵现场，以伤人罪拘捕男户主，带返警署扣查，女事主须送院治理。扯头发拳打脚踢被捕男子姓黎(五十一岁)，与姓关妻子(四十岁)及家人居住宝达邨达佳楼一单位。据悉，黎性格急躁，经常为琐事与家人争吵。昨日凌晨一时许，黎由外返回住所，由于无法开启睡房木门，用脚大力踢门，在房中熟睡的姓关妻子被吵醒，甫开房门，即被人扯着头发拖出睡房及拳打脚踢受伤。警接报到场，调查后以伤人罪将男事主拘捕，而女事主由救护员包扎后，送往联合医院经治理后无大碍。有社工表示，基层市民长期承受沉重生活压力，容易产生争执和矛盾，演变成家庭暴力事件，甚至出现虐妻情况。而大部分家暴事件导火线以感情问题占多数，其次是家庭琐事及金钱问题。政府应检讨社区服务策略投放更多资源，改善市民大众生活及社区服务配套，建立家庭危机处理机制，加强公民教育，减少家庭纠纷及暴力事件
6,"社会福利署数字显示，今年头9 个月，首次举报的虐偶个案共有3, 822 宗，按年减少23. 2%。社署总社会工作主任（家庭暴力）王何凤施表示，近期举报的虐偶个案数字虽回落，但整体家庭暴力的个案近年仍高，原因包括近年社署加强反家庭暴力教育和宣传，市民提高意识警觉。而两名曾受到丈夫暴力对待的妇女则现身说法，指一度过着仿徨无助的日子，在社署社工的协助下总算站起来，其中一人更与丈夫重修旧好。去年虐妻减23.2%社署在全港有11 队保护家庭及儿童服务课，今个财政年度获拨款再增加12 名社工及两名临床心理学家。 曾受丈夫暴力对待的陈太，丈夫渴望生儿育女，但她体弱未成功，其夫教育背景亦与她有距离，她为求对方发奋，不自觉在言语上侮辱了对方，两人初则口角，丈夫继而动武，至07 年两人吵架，丈夫拍打她的头，翌日感头痛求诊道出真相，最后获转介社署保护家庭及儿童服务课。她与社工薜姑娘见面时哭个不停，因多年没有工作，怕难获聘用而感无助，薜姑娘透过劳工处中年就业服务为其觅职，身为感化官的薜姑娘又安排其夫上「家暴不再」男士成长小组，陈太也参加为受虐妇女而设的小组，结果两人经辅导改善相处，最近陈太更怀孕。60 岁的卢女士则结婚38 年，96 年由内地来港与丈夫团聚，至去年底发现丈夫储蓄减少又常夜归，后发现他有外遇，丈夫更多次在争执中动手，至今年8 月终报警，由保护家庭及儿童服务课社工陈姑娘跟进。陈姑娘助其向短期食物援助计划申领食物及申请法援离婚，最终又申领综援和体恤安置，展开新生活。"
7,"一对年龄相差30多年的老夫少妻近日因感情问题起争执，妻子昨凌晨在上水家中睡梦时突被丈夫推醒，双方吵架期间丈夫拳打她的胸口，并用扫帚狂殴，警员接报到场制止，老汉打得性起拗伤警员手指，最后被制服拘捕，警方事后以伤人及袭警罪名将老汉落案，今日提堂。消息称，妻子怀疑丈夫在内地包二奶起争执，但老汉被捕后反指妻子红杏出墙，家暴变成公说公理，婆说婆理的罗生门事件。记者：徐云庭、黄通蜀涉案老夫少妻分别为73岁的温伯和比他年轻37年的姓唐妻子（36岁），两人10年前结婚，唐妇8年前来港，现育有两名分别6岁及8岁的女儿，一家四口靠综援维生，同住上水新成路107号一单位。据说，两夫妇前晚曾因感情问题争吵，至昨日凌晨3时许，妻子熟睡中突然被丈夫推醒，两人继续争执，其间丈夫一拳击向妻子胸口，妻子还手抓伤丈夫手部，并趁机报警。警员调停遭拗伤手指警员到场时见温伯手持胶扫帚狂扑妻子，唐妇鼻及背部受伤，警员立即上前制止，岂料温伯打得性起，将一名警员手指拗伤，但最终被制服。警员事后将两夫妇与一对幸告无碍女儿一并送院检验，事后均可出院。警方调查后以伤人及袭警罪名将温伯落案检控，今日提堂。由于涉及家暴事件，温伯需要通宵扣查不准保释。消息称，涉案的温伯有多项刑事恐吓和殴打伤人案底。据说，唐妇疑丈夫最近在内地包二奶，夫妇经常为此争吵不休，结果引发今次虐妻事件。不过，温伯被捕后却向警方说出另一版本，他指妻子红杏出墙，更将男友带回家中，因此才向妻子动粗。
香港家庭及事业发展服务训练总监司徒汉明表示，所谓三年一代沟，事件中夫妇年龄相距30多载，因此出现10多个代沟，他认为夫妇俩一旦发现感情现危机，应该及早寻求专业人士的辅导。"
8,"上水发生老夫少妻家暴案，娶得少妻的七旬风流翁近日疑在内地包二奶，惹起年轻三十七载的妻子不满，昨凌晨老翁返家被拒门外，愤然攀窗入屋，涉以扫帚袭击妻子，双方遂大打出手，吓得一对稚女大哭。警方接报到场制止，老翁更涉嫌袭警，两夫妻被捕，俱受伤送院。少妻与两女儿跟警员返寓所调查。 （林明强摄）被捕老翁姓温（七十三岁），与姓汤妻子（三十六岁），育有一对分别三及五岁女儿，一家四口住新成路一○七号一单位。据悉，汤妇近年持单程证来港团聚，因丈夫年纪老迈，外出打工养家，并给钱丈夫作家用。不过，汤妇近日发现丈夫频频北上，多次不回家度宿，遂怀疑丈夫在内地包二奶。昨凌晨三时许，温翁夜归无门入，不断拍门，妻子亦坚拒开门。温翁愤然爬窗入屋，怒执胶扫帚追打妻子，她不甘示弱还击，两稚女惊见父母互殴，瑟缩一角大哭。老翁涉袭警被捕
警方接报后赶抵制止，温翁与警员发生纠缠，警员需合力将他制服，两夫妻涉伤人被捕，温翁被加控一项涉嫌袭警罪，两人分别手、鼻及背部受伤，一并送院治理。由于一对女儿年幼，亦由女警带同送院。汤妇送院时叹谓，经历今次事件后会带一对女儿回乡生活。汤妇抵达医院仍怒气未消，眼见丈夫落白车时掩脸躲避记者镜头，似不欲家丑外扬，她便不屑地说﹕「怕乜嘢呀！」至昨午十二时许，汤妇在男女探员陪同下，带同两女返回寓所调查。个案其后交由社会福利署协助跟进。"
9,妇女遇上家暴问题，当然希望获得帮助，小则听她哭诉，协助解决问题；大则寄望社工可以为她提供协助，远离问题源头，拯救她们于水深火热之中，不过有协助家暴受害妇女的组织指，政府及社工未有认真协助妇女解决问题，甚至恶言以对，令求助妇女情绪、精神受压，希望政府安排社署统一处理求助个案，增拨资源提供精神科服务。「既然失眠做齐日夜更」47岁的阿宝10年前来港，本来希望来港后，可以与丈夫、儿子一起共叙天伦，可惜好景不常，一年后，她开始被丈夫虐打，被推倒地上时，连精神心灵亦随之跌入深渊，但是了为继续照顾儿子，阿宝唯有继续哑忍，度过了9年被虐打的生活。身心俱疲，驱使阿宝向社署求助，可惜求助被未能使她得真正获助。阿宝表示，当她到达社署时，不但由一名全无经验的实习社工处理问题，更加被该名社工恶言相对，指她「未断手断脚，可以工作」，令阿宝饱受伤害。社工最后安排阿宝到劳工处搵工，鉴于阿宝有失眠问题，社工更作出无理判断说「既然失眠，即是能担当日更及夜更工作」，阿宝批评社工没有同情心。群福妇女权益会主席廖银凤表示，家庭暴力案件虽然时有发生，警方及社会各人士亦呼吁受害者求助，不过社署的协助方法却无补于事，不但获得恶言，有的更儿戏，只要求两夫妇在社工面前握手言和，若劝告不果，亦只会劝说二人离婚。她希望家暴个案可统一由保护家庭及儿童服务课处理，亦不应由实习社工单独处理个案。
10,35岁文员就教导继子问题与妻子口角，盛怒下竟手执菜刀架在继子颈上，扬言杀死他，并以皮带鞭打继子，妻子对其恶行不满而拒绝与他同睡，文员竟口咬妻的脚趾和手指，他昨被判接受感化1年，并需上反虐待及家暴等社区课程。须读反家暴课程35岁的钟姓被告，早前承认刑事恐吓、虐儿及袭击伤人共4项罪名，案中9岁男童为被告妻子与前夫所生。裁判官直斥被告施用暴力，案情严重，若非感化官报告良好及获其妻撰信求情，以及继子正在内地由外祖父母照顾，难再遭被告施虐，否则必定将他判监。裁判官遂接纳感化官建议，认为被告获判感化将有助解决家庭问题，并劝诫被告纠正过错及接受心理辅导。案发于今年1月至2月间，被告因教导9岁继子的问题，与妻子在屯门家中发生争执，被告突然手持29厘米长的菜刀，架在继子颈上恐吓妻子，扬言杀死他。至9月14日晚，被告教导继子英文时，因不满其态度，竟将继子头部按压在梳化上，被告于个多小时后再走入继子房间以皮带鞭打他，妻子一度出手阻止。妻拒同床遭报复妻子因不满被告粗暴野蛮行为拒绝同床，被告为报复用口咬她的脚趾和拇指致流血。翌日被告恐吓妻子不要报警，否则咬断她3根手指，妻子觉事态严重，向社署求助及报警。被告早前认罪时，曾遭另一名裁判官训斥其行为残忍粗暴，更反问︰「你系动物嚟㗎？用口咬人！」
11,上水彩園邨一單位昨晨發生虐兒引致家暴的案件。一名躁父疑6歲兒子不聽教導，盛怒下出手推撞，其妻護兒心切，與夫爭執後拳來腳往，妻不敵一度持刀相向，報案表示：「我就快俾老公打死！」，及後警員馳至後將一家三口送院，夫婦一同被捕。被捕男戶主歐陽X祺（42歲），腰及頸部受傷，涉嫌虐兒及襲擊；其妻吳X梨（34歲）手、腳及頸部受傷，涉嫌傷人，由於兩人的兒子頭及手部亦受傷，一同送入北區醫院治理。父推撞子 母護兒揮刀事發在彩園邨彩華樓某樓一單位，昨晨7時許男戶主疑因兒子不聽教動怒，情緒失控動粗，其妻護子心切上前阻止，豈料一言不合，你推我撞，其妻不敵，一度衝入廚房取出菜刀揮舞。及後，警員接報到場，男子腰部有刀傷，而母子身上亦有明顯傷痕，一同被送院。警方經調查後將夫婦倆拘捕，案件交由大埔警區刑事調查隊第3隊跟進。有社工建議，當家長管教子女遇到困難時，應主動向社工或專業人士求助，否則會削弱管教效果，影響親子關係，嚴重者會令個人情緒健康受損，及可能引發家庭暴力如虐待兒童等。
